City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
207,Ulaangom,49.9811,92.0667,-20.9,91,80,2.89,broken clouds
208,Netivot,31.4222,34.5886,56.3,75,21,1.72,few clouds
209,De-Kastri,51.4667,140.7833,-15.59,97,100,6.08,overcast clouds
210,Cape Town,-33.9258,18.4232,69.12,71,0,1.99,clear sky
211,Torbay,47.6666,-52.7314,26.58,92,99,7.0,overcast clouds
212,Luderitz,-26.6481,15.1594,65.98,83,0,16.46,clear sky
213,Beamsville,43.1668,-79.4829,32.94,96,100,5.39,snow
214,Alpena,45.0617,-83.4327,31.17,96,100,1.01,overcast clouds
215,Sur,22.5667,59.5289,65.57,56,34,12.08,scattered clouds
216,Srednekolymsk,67.45,153.6833,-43.33,99,100,3.0,overcast clouds
217,Tari,12.4086,4.4914,77.29,17,68,7.92,broken clouds
218,Numan,9.4667,12.0333,77.0,19,96,3.53,overcast clouds
219,Alta Floresta,-9.8756,-56.0861,72.63,95,91,3.18,light rain
220,Morondava,-20.2833,44.2833,77.09,84,98,8.68,overcast clouds
221,Zlobin,45.2924,14.6541,34.38,68,100,21.74,light snow
222,Borogontsy,62.6683,131.1683,-64.84,100,94,2.59,overcast clouds
223,Constitucion,-35.3333,-72.4167,67.21,66,12,16.35,few clouds
224,Khonsa,27.0167,95.5667,47.88,62,92,3.78,overcast clouds
225,Buin,-33.7333,-70.75,88.02,30,0,8.34,clear sky
226,Killybegs,54.6333,-8.45,46.09,93,100,6.91,overcast clouds
227,Kharp,66.8014,65.8081,18.91,92,19,9.19,few clouds
228,Cidreira,-30.1811,-50.2056,75.38,87,27,5.97,scattered clouds
229,Kuala Terengganu,5.3302,103.1408,75.96,87,89,4.47,overcast clouds
230,Port Hardy,50.6996,-127.4199,40.32,81,100,9.31,overcast clouds
231,Huilong,31.8111,121.655,43.93,92,100,11.9,overcast clouds
232,Tuyen Quang,21.8233,105.2181,61.09,88,96,1.32,overcast clouds
233,Malanje,-9.5402,16.341,62.31,99,100,3.4,overcast clouds
234,Hayden,47.766,-116.7866,34.0,89,100,8.05,overcast clouds
235,Ust-Nera,64.5667,143.2,-36.04,100,98,2.53,overcast clouds
236,Manokwari,-0.8667,134.0833,77.27,86,100,1.52,overcast clouds
237,College,64.8569,-147.8028,-14.85,70,75,6.91,broken clouds
